number of retweets, user id, username(s)
27, 369682290 ,shotscrewbr
22, 282695161 ,waynedupreeshow
9, 17980523 ,mitchellvii
9, 25073877 ,realdonaldtrump
8, 2234760798 ,mikesington
5, 347627434 ,lindasuhler
5, 710990834972233728 ,always_trump
3, 3284112337 ,weneedtrump
3, 17561562 ,slone
3, 16973333 ,independent
3, 154048214 ,sexualgif
2, 539104576 ,peterwsinger
2, 14377605 ,thedemocrats
2, 331672974 ,thejeremyvine
2, 222204014 ,skoczela
2, 2546562188 ,cronkitesays
2, 1618641848 ,christiec733
2, 731181280319115264 ,wdfx2eu2
2, 26344615 ,libertybritt
2, 28785486 ,abc
2, 55355654 ,thinkprogress
2, 18643437 ,prisonplanet
2, 2494734018 ,jkr3333
2, 16076032 ,ggreenwald
2, 704017048792268800 ,thankyoudonald
2, 70144495 ,adamslily
2, 125122481 ,depresseddarth
2, 449110269 ,amrightnow
2, 1917731 ,thehill
2, 3238666985 ,_animarchive
2, 704989711669010432 ,peanut9471304
2, 3309169489 ,thedonaldnews
2, 2934083036 ,russsegner
2, 2396910715 ,bourgeoisalien
2, 17995040 ,benshapiro
2, 2957699066 ,slangabuse
2, 16955991 ,salon
2, 16686144 ,nytopinion
2, 800663185 ,eduarsamani
1, 4706270920 ,thegopreport
1, 716328866780827648 ,gotrumpgo2016
1, 706601723067015171 ,pcr241
1, 261749735 ,steph93065
1, 46302096 ,realjmannarino
1, 607558430 ,libertea2012
1, 3051822049 ,twozerosixgod
1, 2430928122 ,ornery1951
1, 700105713373290501 ,bugsy8080
1, 157099071 ,puestoloco
1, 7155782 ,zenpundit
1, 271030180 ,citizensrock
1, 130636969 ,mestasenesta
1, 403787129 ,karensanders7
1, 109000588 ,duhonl
1, 1407822289 ,realdonaldrumpf
1, 2812314881 ,johnriverstoo
1, 99572856 ,graceparra360
1, 14662354 ,washtimes
1, 2288370720 ,magumonero
1, 11866582 ,lolgop
1, 149965942 ,republicanpunk
1, 13615722 ,s8n
1, 701188590169157633 ,babesfortrump
1, 22162854 ,ppact
1, 47837269 ,tparti
1, 513438857 ,dbloom451
1, 16004747 ,fubaglady
1, 349803020 ,activist360
1, 16935292 ,democracynow
1, 50549602 ,tiredfairy
1, 17454769 ,glennbeck
1, 414050517 ,blogsostenible
1, 35827401 ,trumpchic
1, 19417492 ,nro
1, 14293310 ,time
1, 574915137 ,charlie4trump
1, 4895910451 ,shithrcsays
1, 14437914 ,newshour
1, 2390102748 ,quackenbush88
1, 51241574 ,ap
1, 796261392 ,andendall
1, 417390501 ,doug_giles
1, 3914047581 ,italians4trump
1, 185425059 ,tteegar
1, 41634520 ,seanhannity
1, 361372147 ,nickmiller510
1, 352963308 ,christianmale87
1, 3580248555 ,jpm05880
1, 189001394 ,alfonsodosal
1, 3995778614 ,kamvtv
1, 606907410 ,travelingus
1, 2908170952 ,diamondandsilk
1, 97474887 ,capehartj
1, 16190478 ,housecracka
1, 1013374544 ,timbartender
1, 234548424 ,harry1t6
1, 37590426 ,halliejackson
1, 58569513 ,dprk_news
1, 111056827 ,gulfdogs
1, 23012305 ,seanoconnz
1, 1097852275 ,periclesusa
1, 26186655 ,jesselehrich
1, 65106660 ,dougheye
1, 426802833 ,ap_politics
1, 136166272 ,whatzzhername
1, 255645890 ,natire2u
1, 40847783 ,that_jd
1, 38271276 ,mtaibbi
1, 46213956 ,jamilsmith
1, 73774016 ,eagle_vision
1, 168479728 ,dgraz007
1, 1363580378 ,fnthehalls
1, 3364589120 ,realkingrobbo
1, 20545835 ,newsmax
1, 10430722 ,joshcornfield
1, 3400894919 ,esalvador21
1, 857001662 ,fiverights
1, 3677742792 ,immigrant4trump
1, 3540252020 ,redrising11
1, 4068517156 ,mediumpubliczne
1, 2397132581 ,ladymercia
1, 334190707 ,vickistweet
1, 704454997480644609 ,rggob8ycaihwcsy
1, 243655287 ,sireviscerate
1, 701725963 ,nowthisnews
1, 1344797053 ,panegron
1, 1029047922 ,sweetiewalker
1, 436925910 ,alecmacgillis
1, 47475039 ,sarahkendzior
1, 13493302 ,mmfa
1, 35773039 ,theatlantic
1, 726464337510981633 ,datboimemes
1, 860160420 ,coleledford11
1, 56561449 ,jessebwatters
1, 133371829 ,kinni00
1, 14263780 ,deimachy
1, 139823781 ,bettemidler
1, 71627462 ,jonahnro
1, 44481763 ,misszindzi
1, 320524842 ,thebubblebubble
1, 20380049 ,meganrowling
1, 122455671 ,teapartyorg
1, 177564016 ,stevedeaceshow
1, 362691245 ,andrea_peppa
1, 447226821 ,adel__almalki
1, 755310918 ,wnkytv
1, 216776631 ,berniesanders
1, 366819502 ,fredzeppelin12
1, 17678476 ,gordogeek
1, 3448846420 ,marypatriotnews
1, 4289460455 ,asamjulian
1, 3235222537 ,prowhitesunite
1, 289963138 ,prioritiesusa
1, 1367531 ,foxnews
1, 16017475 ,natesilver538
1, 14780915 ,rollingstone
1, 349582502 ,dagodfather907
1, 218325695 ,bencjacobs
1, 2978053367 ,american_mirror
1, 15693493 ,funnyordie
1, 2467791 ,washingtonpost
1, 3185626787 ,phyllis28916209
1, 1167449568 ,lex_looper
1, 308555809 ,gqforbes
1, 1524615180 ,thejamietighe
1, 36527199 ,kristinsalaky
1, 272114651 ,specialkmb1969
1, 21612122 ,hotlinejosh
1, 200163987 ,healthandcents
1, 520026009 ,kimmiej222
1, 365184866 ,theentropicman
1, 4854449571 ,fortennessee
1, 2303751216 ,fivethirtyeight
1, 3390247768 ,breitbarttech
1, 76118161 ,kevinwglass
1, 144570961 ,vmpcott
1, 63612178 ,bettosupertramp
1, 715286047328968704 ,american20161
1, 2884771 ,newsweek
1, 108101526 ,briannaurie
1, 2502895924 ,jewhaditm
1, 27347950 ,jonathantamari
1, 918346674 ,classicpict
1, 39000115 ,katyturnbc
1, 3507746300 ,allabouttrump
1, 133743369 ,idg375
1, 1869575251 ,djbratpack
1, 63004503 ,mlcalderone
1, 24365339 ,mclima55
1, 2217181338 ,conserv_tribune
1, 535639721 ,p8triat
1, 13354102 ,msebastian
1, 5988062 ,theeconomist
1, 95463107 ,sykescharlie
1, 3100086245 ,polinconews
1, 16566808 ,insanityreport
1, 93069110 ,maggienyt
1, 154678128 ,markbrouwer2010
1, 2163076560 ,khaledbeydoun
1, 14173315 ,nbcnews
1, 3408262787 ,callawaybot
1, 18087197 ,wilsonwpa
