number of times mentioned, user ids, username(s)
34, 25073877,realdonaldtrump
27, 369682290,shotscrewbr
22, 282695161,waynedupreeshow
10, 17980523,mitchellvii
9, 710990834972233728,always_trump
8, 2234760798,mikesington
7, 216776631,berniesanders
6, 110445334,megynkelly
5, 347627434,lindasuhler
4, 1367531,foxnews
4, 18643437,prisonplanet
3, 14377605,thedemocrats
3, 41634520,seanhannity
3, 16973333,independent
3, 17561562,slone
3, 154048214,sexualgif
3, 16955991,salon
3, 807095,nytimes
3, 417390501,doug_giles
3, 584554949,magicmetalninja
3, 10228272,youtube
3, 1339835893,hillaryclinton
3, 17454769,glennbeck
3, 1618641848,christiec733
3, 3284112337,weneedtrump
3, 759251,cnn
3, 1917731,thehill
2, 539104576,peterwsinger
2, 35474809,peggynoonannyc
2, 2957699066,slangabuse
2, 26344615,libertybritt
2, 2883573313,trump_bj
2, 28785486,abc
2, 4909719454,ruth_pry
2, 2494734018,jkr3333
2, 125122481,depresseddarth
2, 167535120,mdentandt
2, 3309169489,thedonaldnews
2, 347669450,fortune_cookieb
2, 2934083036,russsegner
2, 16076032,ggreenwald
2, 52136185,michaelcohen212
2, 3308560736,vivelafra
2, 2546562188,cronkitesays
2, 2186558412,prophet_levi
2, 16017475,natesilver538
2, 449110269,amrightnow
2, 620571475,danscavino
2, 21268897,joshtpm
2, 3712824021,distlerjoyce
2, 17238719,ladyscientist
2, 331672974,thejeremyvine
2, 4088772144,mirang_owner
2, 3240210933,datapurist
2, 55355654,thinkprogress
2, 363482119,witch_destiny
2, 3238666985,_animarchive
2, 2978053367,american_mirror
2, 704989711669010432,peanut9471304
2, 2396910715,bourgeoisalien
2, 13524182,daveweigel
2, 2812314881,johnriverstoo
2, 731181280319115264,wdfx2eu2
2, 222204014,skoczela
2, 16686144,nytopinion
2, 704017048792268800,thankyoudonald
2, 71627462,jonahnro
2, 70144495,adamslily
2, 362144301,brianmoore666
2, 4102376488,the_trump_train
2, 17995040,benshapiro
2, 2916204428,nath_celeste
2, 800663185,eduarsamani
2, 14116807,sharethis
1, 2430928122,ornery1951
1, 109000588,duhonl
1, 1407822289,realdonaldrumpf
1, 3540252020,redrising11
1, 851888936,1andonlymikus
1, 108465379,bakedalaska
1, 18199228,jamyerson
1, 513438857,dbloom451
1, 349803020,activist360
1, 50549602,tiredfairy
1, 26900055,drmartyfox
1, 5695632,buzzfeed
1, 17678476,gordogeek
1, 3995778614,kamvtv
1, 14075928,theonion
1, 972651,mashable
1, 1013374544,timbartender
1, 15635264,rmuse
1, 3154508072,demsrrealracist
1, 1097852275,periclesusa
1, 65106660,dougheye
1, 3364589120,realkingrobbo
1, 3293232378,virginiaruby3
1, 20545835,newsmax
1, 3677742792,immigrant4trump
1, 2397132581,ladymercia
1, 704454997480644609,rggob8ycaihwcsy
1, 1344797053,panegron
1, 363199891,beeasy1028
1, 436925910,alecmacgillis
1, 47475039,sarahkendzior
1, 13493302,mmfa
1, 350972842,today_fortune
1, 704692489110876161,trump_urtweet
1, 21258337,theview
1, 177564016,stevedeaceshow
1, 14437914,newshour
1, 4289460455,asamjulian
1, 4510755552,_makada_
1, 3142696044,tonyfabriziogop
1, 36527199,kristinsalaky
1, 99572856,graceparra360
1, 7597712,pjmedia_com
1, 289963138,prioritiesusa
1, 1180379185,realbencarson
1, 218325695,bencjacobs
1, 21612122,hotlinejosh
1, 2512672648,k04ae
1, 50769180,ingrahamangle
1, 76118161,kevinwglass
1, 144570961,vmpcott
1, 857001662,fiverights
1, 458359776,jefferyshicks
1, 3503962453,davidiansimpso3
1, 133743369,idg375
1, 535675339,mielewealth
1, 168479728,dgraz007
1, 1869575251,djbratpack
1, 63004503,mlcalderone
1, 20508720,theplumlinegs
1, 1356030014,libertarianblue
1, 322879013,knp2bp
1, 16935292,democracynow
1, 95463107,sykescharlie
1, 716328866780827648,gotrumpgo2016
1, 19268706,secupp
1, 700105713373290501,bugsy8080
1, 1652541,reuters
1, 936060434,serveitcold
1, 130636969,mestasenesta
1, 139823781,bettemidler
1, 266894776,ajdelgado13
1, 133371829,kinni00
1, 14662354,washtimes
1, 2288370720,magumonero
1, 14957147,theyoungturks
1, 15693493,funnyordie
1, 1524615180,thejamietighe
1, 853780519,sarahrense
1, 386270039,po_st
1, 35827401,trumpchic
1, 14293310,time
1, 574915137,charlie4trump
1, 133546344,cdelbrocco
1, 3068101365,sokysunrise
1, 361372147,nickmiller510
1, 35773039,theatlantic
1, 606907410,travelingus
1, 97474887,capehartj
1, 563876141,kaicarra
1, 234548424,harry1t6
1, 46302096,realjmannarino
1, 330320724,nancyhaze
1, 3978339753,lamebraingame
1, 71048726,juliaioffe
1, 516651529,danieljeyn
1, 16228398,mcuban
1, 784680042,thefeministgop
1, 3400894919,esalvador21
1, 190377885,tobincommentary
1, 11203972,jtlol
1, 333274692,yehudachababo
1, 24365339,mclima55
1, 4335205588,worldbefree_99
1, 13850422,cnnpolitics
1, 704468833398960128,victorliquori1
1, 249997357,richardlantz
1, 129235890,lrihendry
1, 611585332,bonn1egreer
1, 535639721,p8triat
1, 44483327,tikitakistuff
1, 362691245,andrea_peppa
1, 607558430,libertea2012
1, 457984599,breitbartnews
1, 431773157,dsbigd99
1, 47837269,tparti
1, 426802833,ap_politics
1, 243655287,sireviscerate
1, 44481763,misszindzi
1, 308555809,gqforbes
1, 43731141,njweedman
1, 520026009,kimmiej222
1, 365184866,theentropicman
1, 393469195,redsteeze
1, 27347950,jonathantamari
1, 918346674,classicpict
1, 2163076560,khaledbeydoun
1, 14669951,drudge_report
1, 111056827,gulfdogs
1, 3507746300,allabouttrump
1, 2217181338,conserv_tribune
1, 702194839241281536,zesty_trump
1, 467932138,claudiogb68
1, 13354102,msebastian
1, 349582502,dagodfather907
1, 7064,sanders
1, 16566808,insanityreport
1, 2566991,ejxd2
1, 1400943320,debalwaystrump
1, 39000115,katyturnbc
1, 21619519,joenbc
1, 2289395658,whatthe_can_bt
1, 149965942,republicanpunk
1, 701188590169157633,babesfortrump
1, 24431892,markos
1, 830552466,_c_elizabeth_
1, 4926425083,frankdallasagg
1, 187452547,tekstpast
1, 93069110,maggienyt
1, 3452894301,miamifortrump
1, 1355218452,craigrozniecki
1, 78513151,joeleastwood
1, 19417492,nro
1, 517963725,gravesgilbert
1, 4895910451,shithrcsays
1, 19196263,ladyjoanne
1, 2390102748,quackenbush88
1, 796261392,andendall
