number of times replied to, username
2, the_trump_train
2, datapurist
2, vivelafra
1, thedemocrats
1, nj4trump1
1, worldbefree_99
1, lamebraingame
1, realdonaldtrump
1, dsbigd99
1, demsrrealracist
1, danieljeyn
1, tikitakistuff
1, drmartyfox
1, femme_esq
1, theview
1, claudiogb68
1, knp2bp
1, outdoorguy64
1, mielewealth
1, thefeministgop
1, milbank
1, 1andonlymikus
1, peebsy0
1, yehudachababo
1, milehighbrendan
1, brendannyhan
1, foxnews
1, klgrube
1, tobincommentary
1, k04ae
1, joeleastwood
1, theyoungturks
1, virginia_girl57
1, nancyhaze
1, zesty_trump
1, victorliquori1
1, ejxd2
1, davidfrum
1, bbcnewsus
1, cnnpolitics
