number of times tweeting, user_id
3, 22312331
3, 373437513
2, 27686745
2, 4703557268
2, 3950803107
2, 16711026
2, 4872648885
2, 3072832073
2, 914567454
2, 29118781
2, 3109061312
2, 183753455
2, 372884801
2, 4909719454
2, 711667371782459392
2, 2447290136
2, 4879397079
2, 722589641740660737
2, 242017731
2, 4857684041
2, 543794145
1, 3054969461
1, 730445146349817857
1, 3517506675
1, 2866639611
1, 54361572
1, 85230067
1, 248804606
1, 280664117
1, 228950242
1, 594796131
1, 2730558604
1, 385762409
1, 366885012
1, 342942559
1, 34969402
1, 1616425044
1, 6131142
1, 216770668
1, 65078737
1, 3885245652
1, 2303296970
1, 2730282363
1, 50549602
1, 34821906
1, 190044015
1, 277243905
1, 568336632
1, 719219074383745024
1, 1729811449
1, 950976000
1, 905898240
1, 3061001031
1, 929219676
1, 19013915
1, 2481369408
1, 416583474
1, 317652514
1, 364601868
1, 1969678730
1, 720899805141016576
1, 160238978
1, 747868842
1, 17376893
1, 2979735249
1, 126411049
1, 930372661
1, 1490767878
1, 1969259184
1, 158412375
1, 57198462
1, 3279791720
1, 427787245
1, 15640075
1, 1969814336
1, 1969250598
1, 4043582307
1, 2806550071
1, 540311549
1, 18025295
1, 4854424665
1, 29407288
1, 2267573448
1, 1561864638
1, 4508317473
1, 17791700
1, 727464047189364737
1, 2908677620
1, 220406914
1, 318646176
1, 349264341
1, 389014726
1, 563738669
1, 50061761
1, 4431979452
1, 2356976556
1, 114494345
1, 1969595286
1, 69628931
1, 32274411
1, 22130202
1, 732373811744636929
1, 2771588954
1, 223989188
1, 290908041
1, 2729894420
1, 704484079517966336
1, 2852331050
1, 14594712
1, 14087058
1, 65419433
1, 289419759
1, 2798417365
1, 726981568133271552
1, 2574095556
1, 244776659
1, 4333586115
1, 2855136498
1, 725448266867970049
1, 45755508
1, 726123857233498113
1, 1673199080
1, 246351909
1, 1640898890
1, 613108812
1, 3341890451
1, 104259124
1, 3905911100
1, 96442308
1, 16955991
1, 714659835967627264
1, 242507768
1, 2256152354
1, 2229587216
1, 434539479
1, 1510733430
1, 880048238
1, 260936472
1, 18964092
1, 3215258525
1, 454099919
1, 2305805642
1, 2177442220
1, 3423361827
1, 17854894
1, 1945935708
1, 1925254244
1, 1610440968
1, 258945761
1, 3949784541
1, 29507360
1, 1969747460
1, 3308938927
1, 978594872
1, 4473721048
1, 979204884
1, 314016613
1, 140941801
1, 3042003750
1, 55004670
1, 703832021957619712
1, 16335102
1, 334753435
1, 955736706
1, 21764166
1, 2476533184
1, 1938951823
1, 1970162280
1, 4002449655
1, 2155432297
1, 2473242444
1, 7776912
1, 3062274112
1, 2446135554
1, 322682659
1, 23866855
1, 2403832916
1, 179912967
1, 1969647182
1, 4668634081
1, 1383107726
1, 503683192
1, 1154863334
1, 24581337
1, 2737739489
1, 253092158
1, 101045151
1, 4696023295
1, 1099972086
1, 49873
1, 21834623
1, 4320799523
1, 2451145803
1, 29465136
1, 4702384890
1, 239040499
1, 2167987970
1, 8904482
1, 27281013
1, 387769793
1, 2628782213
1, 24574149
1, 282326155
1, 330045567
1, 506118525
1, 360406171
1, 1969284470
1, 728555814156263425
1, 3192040780
1, 2901808997
1, 264264848
1, 710211467971264512
1, 4743923252
1, 726812633941188608
1, 4467801800
1, 41491575
1, 15990298
1, 1277481013
1, 1549571936
1, 512362860
1, 3910554256
1, 2513446592
1, 2366324258
1, 1300135032
1, 181309184
1, 4855520494
1, 4700907583
1, 548462015
1, 380873271
1, 4777129712
1, 84974211
1, 1058584819
1, 3081662978
1, 2398300866
1, 2356811455
1, 21531121
1, 27306121
1, 709560846163296257
1, 723668097656344576
1, 1354949786
1, 728228415845847040
1, 14996251
1, 561591171
1, 926181096
1, 706984601252593664
1, 746160763
1, 17996546
1, 925570922
1, 709175114609377281
1, 97370449
1, 3020455940
1, 2955700480
1, 1089186284
1, 389077634
1, 701979404411523072
1, 467932138
1, 696417743155961864
1, 3062370585
1, 326793924
1, 1969573254
1, 3306659422
1, 35035003
1, 15700545
1, 709059463987073025
1, 2308676163
1, 1400943320
1, 714143544777252866
1, 2798581211
1, 624355798
1, 2574644312
1, 32559026
1, 2336163490
1, 716328866780827648
1, 1643310122
1, 175452047
1, 397226468
1, 1547177328
1, 30379069
1, 100210059
1, 3037024874
1, 1969832024
1, 4504870392
1, 54341363
1, 2817620257
1, 19048491
1, 3130404228
1, 3059278043
1, 4713599028
1, 3983435980
1, 41385012
1, 726392660882128897
1, 2197106143
1, 78465328
1, 847633508
1, 702038489253158912
1, 256295544
1, 906184772
1, 4538011588
1, 97704024
1, 186909439
1, 3054252719
1, 575781821
1, 723709127017553921
1, 1226824494
1, 2366616523
1, 103549467
1, 68698563
1, 3000400970
1, 194934206
1, 2159400992
1, 4867070105
1, 724931666
1, 4804341614
1, 3505437800
1, 4471122433
1, 216068678
1, 1970119404
1, 713998095755796480
1, 711696227205836804
1, 2505849054
1, 194628809
1, 1043388162
1, 14227687
1, 280845307
1, 235786671
1, 3168573576
1, 1007053832
1, 120234291
1, 22037443
1, 1555236642
1, 1970088295
1, 454440053
1, 45222498
1, 1969634864
1, 4831352337
1, 3060135007
1, 9366902
1, 190937995
1, 4787127953
1, 3321380422
1, 2421228369
1, 18978204
1, 22897055
1, 2313162160
1, 485170501
1, 1515628904
1, 751281974
1, 1969581540
1, 3194740009
1, 19529858
1, 3431503293
1, 4661955925
1, 816343663
1, 2275143211
1, 4786763677
1, 710092190
1, 324982257
1, 2500050318
1, 3292911462
1, 3635497577
1, 72426152
1, 23996909
1, 22624436
1, 2749571215
1, 2921930496
1, 4593326085
1, 700510427730477060
1, 4106758649
1, 86755010
1, 2921905132
1, 821833123
1, 2311455667
1, 26312383
1, 4433663232
1, 473537910
1, 54802185
1, 1226278844
1, 2646274476
1, 2354921772
1, 54011624
1, 65416640
1, 1970031828
1, 100081485
1, 4748634793
1, 2504763266
1, 15174583
1, 2889712563
1, 618530321
1, 718377859094589440
1, 2355576174
1, 23617145
1, 1068425592
1, 234466998
1, 2541734210
1, 56681659
1, 3763467432
1, 17770816
1, 110611375
1, 4882353865
1, 15471611
1, 1241871
1, 4042517709
1, 711565048167014400
1, 711265942668333056
1, 2736598260
1, 53388429
1, 216737250
1, 703405470195658753
1, 565453740
1, 3299686409
1, 1970208193
1, 753579799
1, 1222028304
1, 308167371
1, 1216603759
1, 718919634242695168
1, 2513442721
1, 301152588
1, 833083584
1, 38868552
1, 721104775689863168
1, 24839123
1, 3910291053
1, 703307131718598656
1, 710553672380452865
1, 708334243508850688
1, 863194272
1, 107478141
1, 4765867515
1, 4521330855
1, 1134398936
1, 521996289
1, 153876973
1, 229202607
1, 2996144446
1, 710550537444265985
1, 15111876
1, 4180736069
1, 380056256
1, 42508115
1, 4774170301
1, 2521725985
1, 731203331587215361
1, 3303725531
1, 4758025849
1, 703332764733538304
1, 1887205999
1, 2269274590
1, 250882048
1, 2233488978
1, 129053562
1, 313502541
1, 196695409
1, 272114651
1, 3304075821
1, 24816848
1, 58378762
1, 3723481395
1, 707282012608925696
1, 15978136
1, 724315786475540481
1, 14872885
1, 732156234833514496
1, 1969392044
1, 2523106995
1, 574137436
1, 39755667
1, 3388236539
1, 283006968
1, 3192408071
1, 17203795
1, 115992534
1, 333091292
1, 94968577
1, 1969797906
1, 1434372889
1, 323293230
