number of times tweeted, hashtag
3245, prfm
2001, perfume
1378, fragrance
1190, rirlisboaampm
857, cosmic_explorer
778, perfume_um
367, このツイート見た人はperfumeあるあるをひとつ出す
304, win
294, ちはやふる
211, msgprays
197, الكويت
188, beauty
171, nowplaying
169, shopping
168, fashion
167, rt
165, sol
157, follow
156, パフューム
156, competition
152, parfum
142, パフュクラさんと繋がりたい
130, deals
129, scent
122, iheartawards
121, bestfanarmy
109, sale
104, craftshout
102, fragrances
93, health
93, buy
91, agrinews
90, rtした人全員フォローする
88, perfumes
85, makeup
81, essentialoils
80, متجر_همسة_عطر
79, giveaway
77, bbloggers
75, perfume75144241
74, perfumery
73, parishilton
69, auction
68, perfume好きな人rt
66, ebay
65, 9nine
64, onsale
64, rtしたパフュクラさん全員フォローする
62, wine
62, halleberry
62, designer
62, 映画
62, pfrm
61, viaja
61, modafeminina
61, promoção
61, organização
61, arquitetura
59, directioners
59, eiga
58, style
58, leaucupidon
57, 拡散希望
57, perfume大好きな人rt
56, britneyspears
56, buzz
55, firstdates
54, skincare
53, taytoscent
53, beyonce
51, wss
51, おそ松さん
50, giftsets
49, taytoperfume
48, nickiminaj
48, fbloggers
48, aprilfools
47, 音楽
46, tribute
45, lbloggers
44, hot
44, shonasaprilcomp
43, music
43, msg2evergreen
43, katyperry
43, mall
42, humanitymsgpassion
41, entertainment
40, تابعهم_يتابعونك
40, deal
40, パフュクラ
40, perfume好きならｒｔ
39, bestseller
38, cheap
38, jpop
38, 綺麗だと思ったらrt
37, collectibles
37, etsy
36, servicesbymsg
36, info
35, women
34, narou
34, eauyes
33, skin
33, forsale
33, ちゃあぽん
31, discount
30, bodysplash
29, justinbieber
29, hair
28, oferta
28, model
28, gifts
28, aldubyayawho
27, amortotal
26, 5sosfam
25, dutyfree
25, gameinsight
25, happy25jan
24, versace
24, のっち好きな人rt
23, libra
23, barbarapalvin
23, かしゆか好きな人rt
23, acquadigioia
23, radiko
23, bieber
23, pequeñosplaceresdelavida
23, cosmetics
22, news
22, 可愛いと思ったらrt
22, エレクトロニック
22, ミュージックビデオ
22, gardening
21, singer
21, rose
20, vaimunik
20, london
20, cologne
19, uae
19, あーちゃん
19, fm802
19, gift
19, prfm_mp
19, 한우양프
19, 녹음러_트친소
19, abudhabi
19, androidgames
19, harmonizers
19, gucci
19, android
19, dubai
18, love
18, scents
18, sharjah
18, tuiteaalgoqueamas
18, shopmycloset
18, smellssogood
17, free
17, luxury
17, efaperfumehouse
17, care
17, 広島fm
17, あ〜ちゃん好きな人rt
17, westsidestory
17, beliebers
16, oscar
16, freebiefriday
16, めざましどようび
16, photo
16, パフュクラさんrt
16, rtした人全員フォロー
16, np
16, jobs
16, rtしたパフュクラさんフォローする
16, avonrep
16, ヒルナンデス
16, mp3
16, islam
16, perfumeファンrt
16, electrical
16, boots
16, arabian
16, rapper
16, romance
15, bargains
15, smellovison
15, あ〜ちゃん
15, esxence
15, dailydeals
14, missdior
14, らぶりつください
14, fragrancefriday
14, etsymntt
14, ぱふゅクラさん大歓迎
14, google
14, usa
14, tffawards
14, cd
14, rtしてくれたぱふゅクラさん全員フォローする
14, marcjacobs
14, のっち生誕祭
13, itunes
13, japan
13, rihanna
13, 火の粉
13, bloomingbouquet
13, review
13, siguemeytesigo
13, glambot
13, sexy
12, new
12, cigarettes
12, trend
12, business
12, jump4dutyfree
12, annasuiluckywish
12, spring
12, organic
12, art
12, avon
12, arianagrande
12, atsocialmedia
11, tips
11, homefragrance
11, ひげ
11, 眠たい
11, uniarabemirates
11, そのまま
11, 相互希望
11, ケア
11, 中2
11, pinkfridayspecial
11, 朝練後
11, サンストリート亀戸
11, scentoftheday
11, 髪ぼさ
11, jewelry
11, かっしかし
11, 新中3
11, april
11, official
10, men
10, soundcloud
10, 10crosbyfilms
10, esxence2016
10, meguraimv
10, valentinesday
10, 聞いたことある人リツイート
10, scentsy
10, bizitalk
10, onedirection
10, perfume好きな人リツイート
10, nippon
10, giftidea
10, msg2wowmsg2
10, messagesofmsg
10, retro
10, fragrantica
10, rtしてくれたパフュクラ全員フォロー
10, ちはやふる見たい人リツイート
10, candles
10, パフュクラさんはrt
10, aftershave
10, جمعه_مباركه
10, vintage
10, ksyk
10, jummahmubarak
9, اختطاف_طايره_مصريه
9, repost
9, perfume好きの方rt
9, kimkardashian
9, rtした人で気になった人お迎え
9, hmkmarugangina
9, handmade
9, esxencenews
9, cristianoronaldolegacy
9, histfic
9, jfcshawnmendes
9, rlpoloblue
9, アメトーーク
9, perfume好きな人と繋がりたい
9, ourvintagehour
9, 一緒に頑張ってくれる人rt
9, aliciamachado
9, パフュクラさんとつながりたい
9, 相互
9, southernjoycandles
9, tenderromance
9, forher
8, milan
8, booklovers
8, xxi
8, ladygaga
8, heiresslimitededition
8, japanese
8, 映画館で号泣した人rt
8, male
8, 香りの紹介
8, friday
8, perfume愛してる人rt
8, capsule
8, felizviernes
8, d
8, milejpn
8, literary
8, givenchy
8, pfm
8, rtした人で気になったらフォローする
8, dvd化して欲しい人rt
8, iampoison
8, ミュージック
8, fridayfeeling
8, nmevents
8, jenniferlopez
7, paris
7, jasmine
7, arma
7, dailysilk
7, babymetal
7, なうぷれ
7, mothersday
7, a_chan
7, fishandchips
7, branding
7, womaninbiz
7, quotes
7, smell
7, dior
7, flash
7, perfume大好きな人はrt
7, meltburner
7, shoes
7, flowers
7, nocchi
7, actress
7, mecmarymalaysia
7, rtしてくれた人全員フォロー
7, win12perfumes
7, celebrity
7, ldnews
7, flower
7, このタグ見た人rt
7, narcisorodriguez
7, あ〜ちゃん大好きな人rt
7, mujer
7, waxmelts
7, lovemyperfumeshop
7, wineoclock
7, belleza
7, aprilfoolsday
7, greenbbloggers
7, perfume大好きの人rt
7, tomford
7, hiphop
7, wildveil
7, job
7, perfumespray
7, unscent
7, home
7, negicco
7, brand
6, oriflameid
6, cuervoscented
6, gamedev
6, deals_us
6, bynr
6, funny
6, 相互フォロー
6, techno
6, top
6, ral
6, ogx
6, release
6, best
6, games
6, gamer
6, 서울
6, arma3
6, flashbackfriday
6, nationalfragranceday
6, 山梨
6, gamenews
6, voices
6, リツイートした人全員フォロー
6, alvarezgomez
6, gotme_perfume
6, perfume好きフォロー
6, ystk
6, mpy
6, design
6, more
6, まとめ
6, fm802noa
6, 単語10個あげて誰かわかったらrt
6, 대구
6, spray
6, profumo
6, mecmarylondon
6, bookboost
6, game
6, candle
6, 부산
6, burjkhaifa
6, malicia
6, esteelauder
6, vinted
6, naverまとめ
6, متجر_ملك
6, milano
6, eaudetoilette
6, tbt
6, perfumebar
6, sales
6, promo
6, naturalindulgence
6, happy805fm
6, mecmaryparis
6, followme
5, blue
5, tsoutimessquare
5, miitomo
5, aeenzubaidah
5, おかあさんといっしょ
5, de
5, antiaging
5, mensgifts
5, 인천
5, esikafan
5, followback
5, vegan
5, for
5, smartbetty
5, rtした人フォローします
5, french
5, healthy
5, odour
5, lahorachachi86
5, justinbieberroast
5, natural
5, 分倍河原
5, coconut
5, 퍼퓸
5, twittershop
5, 제주
5, favsdvcomostagueiros
5, 테크노팝
5, aprilfool
5, saudi
5, sougofollow
5, 1000rt来たらこれ着てperfumeライブ参戦する
5, musics
5, 100porcientotu
5, lotions
5, 일본
5, wickedgoodperfume
5, modellexiboling
5, エイプリルフール
5, fun
5, 도쿄
5, unapelicontacos
5, gabrielgarciamarquez
5, dbcnetwork
5, 인기가요
5, lushkitchen
