total count,percent of total,activties count,percent of activities,tokens,n_gram
32639,0.071500,31775,0.618239,perfume,1grams
28588,0.062626,24163,0.470134,https,1grams
6639,0.014544,5794,0.112733,smell,1grams
6374,0.013963,6056,0.117830,fragrance,1grams
3977,0.008712,3976,0.077360,never,1grams
3881,0.008502,3881,0.075512,through,1grams
3701,0.008108,3700,0.071990,girls,1grams
3614,0.007917,3614,0.070317,lasts,1grams
3612,0.007913,3612,0.070278,boys,1grams
3611,0.007910,3611,0.070258,understand,1grams
3592,0.007869,3592,0.069889,apocalypse,1grams
3591,0.007867,3591,0.069869,secs,1grams
2895,0.006342,2895,0.056327,manage,1grams
2732,0.005985,2731,0.053136,#prfm,1grams
2634,0.005770,2634,0.051249,@best_perfume,1grams
1747,0.003827,1705,0.033174,women,1grams
1538,0.003369,1538,0.029925,ficar,1grams
1351,0.002960,1332,0.025916,spray,1grams
1311,0.002872,1015,0.019749,sentir,1grams
1251,0.002740,1246,0.024243,pessoas,1grams
1217,0.002666,1216,0.023659,cheirar,1grams
1211,0.002653,1211,0.023562,nariz,1grams
1195,0.002618,1195,0.023251,cangote,1grams
1191,0.002609,1191,0.023173,entupido,1grams
1190,0.002607,1190,0.023154,#RIRLisboaAMPM,1grams
1189,0.002605,1189,0.023134,@deivimagalhaes,1grams
1188,0.002602,1188,0.023115,hefz7xpfhc,1grams
1184,0.002594,1184,0.023037,@Perfume_Staff,1grams
1176,0.002576,667,0.012978,quando,1grams
1148,0.002515,1148,0.022336,565000780,1grams
1133,0.002482,1133,0.022045,شهادات,1grams
1101,0.002412,1097,0.021344,cosmic,1grams
1092,0.002392,1092,0.021247,شكرا,1grams
1091,0.002390,1088,0.021169,explorer,1grams
1090,0.002388,1090,0.021208,بقية,1grams
1090,0.002388,1090,0.021208,شهاداتكم,1grams
1090,0.002388,1090,0.021208,لثقتكم,1grams
1090,0.002388,1090,0.021208,العملاء,1grams
1090,0.002388,1090,0.021208,المفضلة,1grams
1013,0.002219,1010,0.019651,song,1grams
1005,0.002202,1004,0.019535,inside,1grams
1001,0.002193,1001,0.019476,pass,1grams
998,0.002186,998,0.019418,hear,1grams
995,0.002180,995,0.019359,spot,1grams
992,0.002173,988,0.019223,#Perfume,1grams
983,0.002153,983,0.019126,hangout,1grams
928,0.002033,921,0.017920,cologne,1grams
923,0.002022,907,0.017647,beauty,1grams
897,0.001965,897,0.017453,break,1grams
895,0.001961,895,0.017414,kinda,1grams
890,0.001950,856,0.016655,cheiro,1grams
886,0.001941,886,0.017239,couple,1grams
855,0.001873,855,0.016636,みんなでつくるライナーノーツ,1grams
844,0.001849,729,0.014184,deals,1grams
834,0.001827,740,0.014398,body,1grams
817,0.001790,813,0.015818,still,1grams
766,0.001678,765,0.014884,#perfume,1grams
703,0.001540,682,0.013270,mist,1grams
696,0.001525,689,0.013406,melhor,1grams
694,0.001520,694,0.013503,chorizo,1grams
694,0.001520,694,0.013503,huevos,1grams
691,0.001514,651,0.012666,love,1grams
686,0.001503,686,0.013347,@HornyFacts,1grams
683,0.001496,683,0.013289,スウィート,1grams
683,0.001496,683,0.013289,カワイイの日,1grams
676,0.001481,676,0.013153,meanwhile,1grams
663,0.001452,661,0.012861,bath,1grams
657,0.001439,640,0.012452,minha,1grams
630,0.001380,629,0.012238,gonna,1grams
616,0.001349,616,0.011985,@drvgvisual,1grams
613,0.001343,613,0.011927,selena,1grams
574,0.001257,574,0.011168,@screamau,1grams
571,0.001251,564,0.010974,sweet,1grams
569,0.001246,569,0.011071,ounce,1grams
546,0.001196,541,0.010526,best,1grams
545,0.001194,518,0.010079,2016,1grams
544,0.001192,540,0.010507,secret,1grams
540,0.001183,532,0.010351,free,1grams
538,0.001179,538,0.010468,@Hiss_perfume,1grams
536,0.001174,530,0.010312,fresh,1grams
535,0.001172,412,0.008016,amor,1grams
528,0.001157,528,0.010273,masculino,1grams
528,0.001157,179,0.003483,pizza,1grams
509,0.001115,502,0.009767,flash,1grams
509,0.001115,506,0.009845,saudade,1grams
508,0.001113,483,0.009398,bottle,1grams
508,0.001113,508,0.009884,@SincerelyTumblr,1grams
497,0.001089,493,0.009592,victoria,1grams
496,0.001087,494,0.009612,parfum,1grams
485,0.001062,482,0.009378,tester,1grams
462,0.001012,462,0.008989,jackson,1grams
459,0.001006,459,0.008931,pngmaiij3g,1grams
459,0.001006,459,0.008931,@tryna_be_famous,1grams
459,0.001006,459,0.008931,motherfucker,1grams
451,0.000988,451,0.008775,#Perfume_um,1grams
450,0.000986,449,0.008736,feminino,1grams
449,0.000984,449,0.008736,@GirlsNoteBook,1grams
431,0.000944,430,0.008366,girl,1grams
429,0.000940,426,0.008289,nada,1grams
429,0.000940,429,0.008347,vezes,1grams
420,0.000920,420,0.008172,longe,1grams
420,0.000920,419,0.008152,baby,1grams
400,0.000876,400,0.007783,story,1grams
396,0.000867,396,0.007705,@arrombalizado,1grams
396,0.000867,392,0.007627,pink,1grams
394,0.000863,394,0.007666,@ShiWantsTheC,1grams
394,0.000863,394,0.007666,oryx8vf594,1grams
394,0.000863,345,0.006713,pelo,1grams
392,0.000859,390,0.007588,ちはやふる,1grams
386,0.000846,386,0.007510,side,1grams
385,0.000843,383,0.007452,flowers,1grams
383,0.000839,383,0.007452,sensibilidade,1grams
383,0.000839,382,0.007432,west,1grams
382,0.000837,382,0.007432,refrain,1grams
378,0.000828,377,0.007335,jeito,1grams
378,0.000828,378,0.007355,momento,1grams
