number of times tweeted, urls
15155, twitter.com
1097, www.amazon.com
870, deals.ebay.com
862, cosmic-explorer.com
845, vine.co
758, www.ebay.com
743, www.youtube.com
515, www.instagram.com
340, www.perfume-web.jp
333, www.facebook.com
321, www.sherif.ws
318, www.etsy.com
289, www.globalpresentservice.com
261, www.snapchat.com
187, matome.naver.jp
134, ticket.st
132, www.amazon.co.jp
129, scroll.in
121, ro69.jp
106, www.asmart.jp
106, eiga.com
105, www.ancienneambiance.com
98, www.lapatilla.com
97, stylefashionnews.com
96, www.thefragrancestation.com
93, ameblo.jp
91, agriculture.einnews.com
89, www.prettypaperpackages.com
63, dream-story.jp
63, gleam.io
62, news.livedoor.com
60, natalie.mu
58, health-beauty-items.info
58, twipla.jp
55, pinterest.com
55, towershibuya.jp
54, item.ticketcamp.net
53, www.onedirection.net
51, itunes.apple.com
51, lovebelfast.co.uk
51, primaniacs.com
50, 9nine-fan.lespros.co.jp
49, toys-and-hobbies.info
49, zignote.com
47, redirect.tinyurl.com
47, viralbuzz.news
47, manyazz.com
46, linkis.com
46, www.salesgossip.co.uk
44, cosmeticclub.org
41, www.fraiche.com.mx
40, sekitei.red
35, www.bukalapak.com
35, www.basenotes.net
34, ncode.syosetu.com
34, ask.fm
31, www.lovetelina.com
30, thanksai1.jp
29, fraiche.com.mx
27, www.peryco.com
26, radiko.jp
26, www.universal-music.co.jp
26, msn-info.jp
25, etsy.com
25, www.forbes.com
24, belleza.trendencias.com
24, zermatinternational.cld.bz
23, www.naturesgardencandles.com
22, www.belfastlive.co.uk
22, www.makeupandbeautyblog.com
22, arbatrage.com
22, fragranceshop.co
21, bit.ly
21, www.vice.com
21, www.shoppingforagift.com
20, auctranking.com
20, www.google.com
20, twibble.io
19, soundcloud.com
19, fmuae.ambong.com
19, celebsla.com
19, prod.socialmediacenter.avonsocialtools.com
19, www.fragrantica.com
19, headlines.yahoo.co.jp
19, perfume-app.com
18, nogizaka48.jp
18, www.coolfm.co.uk
18, akb46.jp
18, bitly.com
18, www.beautyfulla.com
